Player_Name,Role,Nationality,Age,Team,Year,Base_Price_CR,Matches,Batting_Avg,Strike_Rate,Runs,Bowling_Economy,Wickets,Sold_Price_CR,Status
Virat Kohli,Batsman,India,33,Royal Challengers Bangalore,2022,1.7,11,64.1,142.1,478,0.0,0,24.01,Sold
Virat Kohli,Batsman,India,34,Royal Challengers Bangalore,2023,1.8,14,58.4,149.6,830,0.0,0,25.9,Sold
Virat Kohli,Batsman,India,35,Royal Challengers Bangalore,2024,1.9,10,48.9,136.9,399,0.0,0,22.76,Sold
Virat Kohli,Batsman,India,36,Royal Challengers Bangalore,2025,2.0,11,41.5,133.5,392,0.0,0,21.0,Retained
Rohit Sharma,Batsman,India,34,Mumbai Indians,2022,1.7,9,50.0,131.3,385,0.0,0,21.36,Sold
Rohit Sharma,Batsman,India,35,Mumbai Indians,2023,1.8,12,37.8,125.6,487,0.0,0,21.24,Sold
Rohit Sharma,Batsman,India,36,Mumbai Indians,2024,1.9,10,37.0,137.9,303,0.0,0,17.35,Sold
Rohit Sharma,Batsman,India,37,Mumbai Indians,2025,2.0,14,31.8,130.8,323,0.0,0,16.3,Retained
KL Rahul,Wicket-Keeper Batsman,India,29,Delhi Capitals,2022,1.7,8,55.2,139.5,385,0.0,0,12.85,Sold
KL Rahul,Wicket-Keeper Batsman,India,30,Delhi Capitals,2023,1.8,12,52.0,132.6,388,0.0,0,13.89,Sold
KL Rahul,Wicket-Keeper Batsman,India,31,Delhi Capitals,2024,1.9,9,49.3,133.4,328,0.0,0,13.25,Sold
KL Rahul,Wicket-Keeper Batsman,India,32,Delhi Capitals,2025,2.0,13,47.5,136.5,411,0.0,0,14.0,Sold
Rishabh Pant,Wicket-Keeper Batsman,India,24,Lucknow Super Giants,2022,1.7,13,21.3,147.2,176,0.0,0,12.07,Sold
Rishabh Pant,Wicket-Keeper Batsman,India,25,Lucknow Super Giants,2023,1.8,7,24.6,141.6,131,0.0,0,20.54,Sold
Rishabh Pant,Wicket-Keeper Batsman,India,26,Lucknow Super Giants,2024,1.9,14,32.3,139.7,432,0.0,0,25.37,Sold
Rishabh Pant,Wicket-Keeper Batsman,India,27,Lucknow Super Giants,2025,2.0,13,35.5,148.5,369,0.0,0,27.0,Sold
Ishan Kishan,Wicket-Keeper Batsman,India,23,Mumbai Indians,2022,1.7,16,17.4,130.6,170,0.0,0,4.34,Sold
Ishan Kishan,Wicket-Keeper Batsman,India,24,Mumbai Indians,2023,1.8,11,21.2,134.5,245,0.0,0,6.33,Sold
Ishan Kishan,Wicket-Keeper Batsman,India,25,Mumbai Indians,2024,1.9,10,27.9,128.9,207,0.0,0,8.61,Sold
Ishan Kishan,Wicket-Keeper Batsman,India,26,Mumbai Indians,2025,2.0,14,33.5,138.8,378,0.0,0,11.25,Retained
Shreyas Iyer,Batsman,India,26,Punjab Kings,2022,1.7,16,30.0,121.0,314,0.0,0,16.23,Sold
Shreyas Iyer,Batsman,India,27,Punjab Kings,2023,1.8,15,32.8,115.9,420,0.0,0,20.36,Sold
Shreyas Iyer,Batsman,India,28,Punjab Kings,2024,1.9,10,30.7,135.4,233,0.0,0,23.72,Sold
Shreyas Iyer,Batsman,India,29,Punjab Kings,2025,2.0,12,34.5,127.5,377,0.0,0,26.75,Sold
Shubman Gill,Batsman,India,22,Gujarat Titans,2022,1.7,11,28.9,122.8,269,0.0,0,6.59,Sold
Shubman Gill,Batsman,India,23,Gujarat Titans,2023,1.8,16,27.8,125.0,468,0.0,0,8.52,Sold
Shubman Gill,Batsman,India,24,Gujarat Titans,2024,1.9,8,44.3,126.7,331,0.0,0,13.54,Sold
Shubman Gill,Batsman,India,25,Gujarat Titans,2025,2.0,14,50.5,134.5,491,0.0,0,16.5,Retained
Suryakumar Yadav,Batsman,India,31,Mumbai Indians,2022,1.7,16,59.2,178.3,963,0.0,0,15.33,Sold
Suryakumar Yadav,Batsman,India,32,Mumbai Indians,2023,1.8,16,69.3,192.0,790,0.0,0,22.24,Sold
Suryakumar Yadav,Batsman,India,33,Mumbai Indians,2024,1.9,13,59.7,195.9,519,0.0,0,17.76,Sold
Suryakumar Yadav,Batsman,India,34,Mumbai Indians,2025,2.0,11,50.5,183.5,444,0.0,0,16.35,Retained
Sanju Samson,Wicket-Keeper Batsman,India,27,Rajasthan Royals,2022,1.7,8,40.5,152.6,280,0.0,0,13.23,Sold
Sanju Samson,Wicket-Keeper Batsman,India,28,Rajasthan Royals,2023,1.8,14,37.1,148.7,500,0.0,0,17.17,Sold
Sanju Samson,Wicket-Keeper Batsman,India,29,Rajasthan Royals,2024,1.9,13,41.3,144.1,365,0.0,0,19.0,Sold
Sanju Samson,Wicket-Keeper Batsman,India,30,Rajasthan Royals,2025,2.0,13,40.5,152.5,340,0.0,0,18.0,Retained
Ruturaj Gaikwad,Batsman,India,24,Chennai Super Kings,2022,1.7,12,24.7,131.1,211,0.0,0,8.47,Sold
Ruturaj Gaikwad,Batsman,India,25,Chennai Super Kings,2023,1.8,9,30.4,132.6,280,0.0,0,10.82,Sold
Ruturaj Gaikwad,Batsman,India,26,Chennai Super Kings,2024,1.9,9,35.4,127.4,230,0.0,0,16.02,Sold
Ruturaj Gaikwad,Batsman,India,27,Chennai Super Kings,2025,2.0,13,44.5,134.5,436,0.0,0,18.0,Retained
Hardik Pandya,All-Rounder,India,28,Mumbai Indians,2022,1.7,14,32.6,152.3,283,7.9,45,14.54,Sold
Hardik Pandya,All-Rounder,India,29,Mumbai Indians,2023,1.8,13,31.0,159.9,298,7.9,36,14.83,Sold
Hardik Pandya,All-Rounder,India,30,Mumbai Indians,2024,1.9,11,35.9,160.2,206,7.8,43,15.33,Sold
Hardik Pandya,All-Rounder,India,31,Mumbai Indians,2025,2.0,13,30.8,152.5,362,7.9,48,16.35,Retained
Ravindra Jadeja,All-Rounder,India,33,Chennai Super Kings,2022,1.7,13,38.9,130.7,387,6.3,176,23.77,Sold
Ravindra Jadeja,All-Rounder,India,34,Chennai Super Kings,2023,1.8,14,46.9,126.9,343,6.9,205,26.98,Sold
Ravindra Jadeja,All-Rounder,India,35,Chennai Super Kings,2024,1.9,12,39.6,133.3,307,6.9,155,25.07,Sold
Ravindra Jadeja,All-Rounder,India,36,Chennai Super Kings,2025,2.0,14,30.2,123.5,290,6.9,135,18.0,Retained
Axar Patel,All-Rounder,India,28,Delhi Capitals,2022,1.7,11,21.9,113.1,140,7.0,74,12.0,Sold
Axar Patel,All-Rounder,India,29,Delhi Capitals,2023,1.8,15,21.3,124.4,219,6.5,119,12.39,Sold
Axar Patel,All-Rounder,India,30,Delhi Capitals,2024,1.9,10,26.4,127.5,177,7.3,85,15.18,Sold
Axar Patel,All-Rounder,India,31,Delhi Capitals,2025,2.0,12,25.5,124.5,254,6.8,115,16.5,Retained
